Anchita,"Honoured, worshipped",,,,,,
Angana,An suspicious or handsome woman,,,,,,
Anika,"Very beautiful, graceful",,,,,,
Anima,The power of becoming small,,,,,,
Anindita,"Perfect, beautiful",,,,,,
Anisha,"Continuous, eternal",,,,,,
Anita,Grace,,,,,,
Anjali,Offering with both hands; Gift,,,,,,
Anjana,Mother of Hanuman,,,,,,
Anjika,Blessed,,,,,,
Anjini/Anjani,Mother of Hanuman,,,,,,
Anju,One who lives in the heart,,,,,,
Anjuli,Blessings/ inconquerable,,,,,,
"Anjushri,Anjushree",Dear to one's heart,,,,,,
Ankita,Conqueress; empress; one with auspicious marks,,,,,,
Annapurna,Goddess Parvati; generous with food,,,,,,
Anshu,Rays,,,,,,
Anshula,Sunny,,,,,,
Antara,The second note in Hindustani classical music,,,,,,
Anu,"A prefix, atom",,,,,,
Anuhya,Something unexpected - in a pleasant way - and valuable,,,,,,
Anuja,Younger sister,,,,,,
Anumati,Consent,,,,,,
Anupama,"Unique, unparalleled",,,,,,
Anuprabha,Brightness,,,,,,
Anupriya,Beloved,,,,,,
Anuradha,A bright star,,,,,,
Anusha,"Beautiful morning, a star",,,,,,
Anushri/Anushree,Pretty,,,,,,
Apala,Most beautiful,,,,,,
Aparajita,Undefeated,,,,,,
Aparna,Goddess Parvati,,,,,,
Apsara,Celestial maiden,,,,,,
Apurva; Apoorva,Unique,,,,,,
Aradhana,"Worship, prayer",,,,,,
Arati/Aaarti,"Worship, divine fire in ritual",,,,,,
Archa,Worship,,,,,,
Archana,Worship,,,,,,
Archisha,A ray of light,,,,,,
Archita,Vone who is worshipped,,,,,,
Arpana,Offering,,,,,,
Arpita,Dedicated,,,,,,
Aruna,Dawn,,,,,,
Arundhati,Star,,,,,,
Aruni,Dawn,,,,,,
Arunima,Glow of dawn,,,,,,
Aryaa,"Civilised, best",,,,,,
Aseema/Ashima,Limitless,,,,,,
Asha/Aasha,"Hope, expectation",,,,,,
Ashrita,Sheltered,,,,,,
Ashwini,Name of a star,,,,,,
Asita,The river Yamuna,,,,,,
Askini,Daughter of Prajapati Virat,,,,,,
Aslesha,A star,,,,,,
Asmita,Pride,,,,,,
Atasi,A blue flower,,,,,,
Atmaja,Daughter,,,,,,
Atreyi,Name of a river,,,,,,
"Avani,Abani",Earth,,,,,,
Avanti,Ancient city of Ujjain,,,,,,
Avantika,Princess of Ujjain,,,,,,
Avinashi,Indestructable,,,,,,
Ayati,Royal,,,,,,
Ayushi,Long life,,,,,,
Ayushmati,One who has a long life,,,,,,
Ayela [Newari name],Wine/whisky,,,,,,
Aanga [Newari name],Yard,,,,,,
Abinaya Karki,Please add this name. I want to know. Thank you,,,,,,
Aashika,Aashika,,,,,,
Anuska,She is a girl.,,,,,,
Akriti,Shape,,,,,,
Angel Claire,Tyrtf,,,,,,
Akshamala,"Akshamala is a garland of beads made of pearls , shalagram etc.it is the attribute of many god and deities in hindhusim",,,,,,
Anushka,Farsighted,,,,,,
Anishma,Beautiful and hard worker,,,,,,
Aashna,Friend,,,,,,
Aarshi,Aarshi means the plate of Arti,,,,,,
Adrina,Baby name,,,,,,
Arun Dong,Meaning of the name,,,,,,
Arun Lama,Meaning of the name,,,,,,
Arun Lama Dong,Meaning of the name,,,,,,
Ashmita,Pride,,,,,,
Ashika,A Blessed And Beautiful Girl Whos Future Can Be Anything She Wishes.,,,,,,
Annika,He origin is supposedly Sanskrit and is used commonly in Hindu religion. Annika means Goddess Durga in Hindu and is a name commonly used in many parts of India.,,,,,,
Abigya Poudel,Experienced,,,,,,
Ashmita/ Asmita,"The meaning is : Prestige, Pride",,,,,,
Asha,"Faith in lord Jesus, Hope",,,,,,
Ayusha,Long-lived / Someone who has a good life,,,,,,
Atrika,Goddess,,,,,,
Aayusha,Long Life,,,,,,
"Aaliyah, Aliyah, Aliya, Aaliya",Tall; Towering; Ascending,,,,,,
"Aaliyah, Aliyah",Tall; Towering; Ascending,,,,,,
Astrima,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Aakrashma,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Aayera,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Arishka,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Anuragi,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Aahana,First rays of the Sun,,,,,,
Abisha,A Star,,,,,,
Anooska,Pease advise us the meaning of this name,,,,,,
Anjita,Please advise us the meaning of this name.,,,,,,
Anushruti,Please advise us the meaning of this name.,,,,,,
Aakriti,Image,,,,,,
Ariska,Please advise us the meaning of this name.,,,,,,
Anupa,"Unique, one of a kind",,,,,,
Abisaa,Please advise us the meaning of this name.,,,,,,
Aarti,Please advise us the meaning of this name.,,,,,,
Alina,Please advise us the meaning of this name.,,,,,,
Apeksa,Expectation; A strong belief on something,,,,,,
Apeksha,Expectation; A strong belief on something,,,,,,
Apekshya,Expectation; A strong belief on something,,,,,,
Amesha,Please advise us the meaning of this name.,,,,,,
Aarika,Please advise us the meaning of this name.,,,,,,
Apsana,Please advise us the meaning of this name.,,,,,,
Alia,Please advise us the meaning of this name.,,,,,,
,,,,,,,
Bageshri,Name of a raaga,,,,,,
Baidehi,Sita,,,,,,
Baijayanti/Vaijayanti,Garland of Lord Vishnu,,,,,,
Baisakhi,Of the month Baishakh,,,,,,
Bala/Balaa,"An ever 9 year old girl, a young girl",,,,,,
Banamala,Forests,,,,,,
Bandana/Vandana,Worship,,,,,,
Bandita/Vandita,"Adored, praised",,,,,,
Banhi,Fire,,,,,,
Banita,Woman,,,,,,
Barnali,Dispersion of seven colors,,,,,,
"Barsha,Varsha",Rain,,,,,,
Baruna/Varuna,Wife of the Lord of the sea,,,,,,
Baruni Goddess,Durga,,,,,,
Basabi,Wife of Lord Indra,,,,,,
Basanta,Spring,,,,,,
Basanti,Spring,,,,,,
Basudha/Vasudha,Earth,,,,,,
Basundhara,The earth,,,,,,
Beena/Bina,A musical instrument (Beena),,,,,,
Bela,Time; creeper plant,,,,,,
"Bela, Beli",A flower-jasmine,,,,,,
Bhadra,Gentle,,,,,,
Bhadraa,Galaxy,,,,,,
Bhagirathi,The river Ganga,,,,,,
Bhagwanti,Lucky,,,,,,
Bhagya,Fate,,,,,,
Bhagyashri/shree,Fortunate,,,,,,
Bhairavi,A melody in classical music; Goddess Durga,,,,,,
Bhakti,Devotion,,,,,,
Bhamini,Woman,,,,,,
Bhanu,Sun/ fame,,,,,,
Bhanuja,River Yamuna,,,,,,
Bhanumati,Full of lustre,,,,,,
Bhanuni,Charming woman,,,,,,
Bharani,Name of a celestial star,,,,,,
Bharati,Goddess Saraswati,,,,,,
Bhargavi,Goddess Parvati,,,,,,
Bhavana/Bhawana,"Feelings, sentiments",,,,,,
Bhavini Goddess,Parvati,,,,,,
Bhavya/Bhabya,"Grand, splendid",,,,,,
Bhawanee/Bhawani,Goddess Parvati,,,,,,
Bhoomi,Earth,,,,,,
Bhumi/Bhoomi,The earth,,,,,,
Bhumika,Earth,,,,,,
Bhuvana,The earth,,,,,,
Bhuvi,Heaven,,,,,,
Bibha/Vibha,Radiance,,,,,,
Bidya/Vidya,Knowledge,,,,,,
Bimala,Pure,,,,,,
Bina/Beena,A musical instrument,,,,,,
Binata,The wife of Sage Kashyap,,,,,,
Binaya/Vinaya,Modesty,,,,,,
Bindhya/Vindhya,Knowledge,,,,,,
Bindiya,"Tika on women's forehead, drop, point",,,,,,
Bindu,"Point, droplet",,,,,,
Binita,Inner Power,,,,,,
Binodini,Handsome; beautiful Radha,,,,,,
Bipasha,A river,,,,,,
Bishakha,A star,,,,,,
Brinda,Tulasi,,,,,,
Brinda/Bindya,Radha,,,,,,
Bhintuna [Newari name],Wishes,,,,,,
Bhawana,"Simple, talkative, friendly",,,,,,
Bhimawati,"She is a dancer, kind, helpful, love able,",,,,,,
Bideeka,Directional Junction,,,,,,
Binishma,"Frankly , brave heart",,,,,,
Benju,"Instrument,flute of a kind",,,,,,
Birangana,Brave lady,,,,,,
Bishu,Subiya,,,,,,
Budha maya,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Bebisha,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Babita,"Pease advise us the meaning of this name
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Biyansa,Pease advise us the meaning of this name,,,,,,
Bunusa,Please advise us the meaning of this name!,,,,,,
Bebika,Please advise us the meaning of this name!,,,,,,
,,,,,,,
Chaand,Moon,,,,,,
Chahana,Desire,,,,,,
Chaitaalee/Chaitaly/Chaitali,Born in th month of chaitra/ ancient city,,,,,,
Chaitan/Chetan,Consciousness,,,,,,
Chameli,Jasmine,,,,,,
Champa,A white fragrant flower,,,,,,
Chanchala,"Unsteady, Lakshmi",,,,,,
Chandaa,Moon (female),,,,,,
Chandana,Sandal wood,,,,,,
Chandani,Moon light,,,,,,
Chandika,Goddess Durga,,,,,,
Chandni,Moonlit,,,,,,
Chandra/Chandrama,Moon,,,,,,
Chandraleksha,A ray of the moon,,,,,,
Chandrani,Wife of the moon,,,,,,
Chandrika,Moonlight,,,,,,
Chapala,Restless; lighting,,,,,,
Charu/Chaaru,"Beautiful, attractive",,,,,,
Charulata,Beautiful creeper,,,,,,
Cheshtaa,Desire,,,,,,
Chetana,Consciousness,,,,,,
Chhabi,Picture,,,,,,
Chhaya,Shadow,,,,,,
"Chintan,Chintana",Meditation,,,,,,
Chitra,"Drawing, picture",,,,,,
Chitralekha,Beautiful design; a celestial maiden,,,,,,
Chitrali,A row of pictures,,,,,,
Chitrani,The river,,,,,,
Chitrarekha,Picture,,,,,,
Chitrita,Picturesque,,,,,,
Come down the mountain,Come down the mountain,,,,,,
Chadani kc,Chadani kc,,,,,,
,,,,,,,
Damayanti,Nala's wife,,,,,,
Damini,Lightning,,,,,,
Darpan/Darpana,"Looking glass, mirror",,,,,,
Darshana,Sight,,,,,,
Darshita,Displayed,,,,,,
Daya,"Kindness, mercy, pity",,,,,,
Dayanita,Merciful,,,,,,
Dayita,Beloved,,,,,,
Deeba,Silk,,,,,,
Deekshya,Initiation,,,,,,
Deepa,Light,,,,,,
Deepali,Row of lamps,,,,,,
Deepamala,Row of lamps,,,,,,
Deepaprabha,Fully lighted,,,,,,
Deepika,A little light,,,,,,
Deepta,Shining,,,,,,
Deepti/Dipti,"Glow, shine, brightness",,,,,,
Devaki,Mother of Krishna,,,,,,
Devangana,Celestial maiden,,,,,,
Devangi,Like a goddess,,,,,,
Devashree,Goddess Lakshmi,,,,,,
Deveshi,Goddess Durga,,,,,,
Devi,Goddess,,,,,,
Devika,Mother of Krishna,,,,,,
Devyani,Daughter of Shukraacharya,,,,,,
Dhanashri,A raga,,,,,,
Dhanishta,A star,,,,,,
Dhanya,Greatful,,,,,,
Dhanyata,"Success, fulfilment",,,,,,
Dhara,"(Dhaaraa) constant flow, the earth",,,,,,
Dharana,"(Dhaaranaa) view, notion",,,,,,
Dharani,The earth,,,,,,
Dharinee,The earth,,,,,,
Dharini,Earth,,,,,,
Dharti,"Earth,Goddess Parvati",,,,,,
Dhavalaa/Dhawala,Fair complexioned,,,,,,
Dhriti,Patience,,,,,,
Dhwani,Sound;voice,,,,,,
Dibya,"Heavenly, brilliant",,,,,,
Diksha/Dikshya,Initiation,,,,,,
Dipali/Deepalee,"Lamps, a row of lights",,,,,,
Dipashri,Beauty of the lamp,,,,,,
Dipti,(Deepti),,,,,,
Dishita,Focus,,,,,,
Dipkisha,"Light
(जोति)",,,,,,
Diti,Wife of the sage Kashyap,,,,,,
Drashtaa,One who sees,,,,,,
Draupadi,Wife of the Pandavas,,,,,,
Drisana,Daughter of the sun,,,,,,
Dristi,Sight,,,,,,
Durga,A goddess,,,,,,
Dolma,Dolma is a Tibetan name often used in Nepal too. It means the Tara with the Seven Eyes.,,,,,,
Doma,"She is helpful, angry, cute, friendly, nice, sweet and fun to be around",,,,,,
Dooma,"She is talkative, nice, friendly, sweet, mean sometimes, but a good friend",,,,,,
Debika,Debika,,,,,,
Dhanlal lama,RIchaa SInjee,,,,,,
Dina,Swekchha,,,,,,
Darjeeling,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Drishti,Pease advise us the meaning of this name,,,,,,
Dakshika,Pease advise us the meaning of this name,,,,,,
Dipsana,Please advise us the meaning of this name.,,,,,,
Divisha,Goddess Durga,,,,,,
,,,,,,,
Ekata/Ekta,Unity,,,,,,
Ela,Earth,,,,,,
Elina,"Pure, intelligent",,,,,,
Enakshi,Dear-eyed,,,,,,
Esha,Desire,,,,,,
Eshita,One who desires,,,,,,
Edit,Name of good,,,,,,
Everybody,Hi my name is rowena,,,,,,
,,,,,,,
"Falguni,Phalguni","Born in Falgun, a Hindu month",,,,,,
Fathi,"Girl: beautiful, trustful. successful, sexy, hot, cute, pretty, dancer and lovable....",,,,,,
,,,,,,,
Gajra,A string of flowers,,,,,,
Gandhali,Fragrance of flowers,,,,,,
Ganga,River Ganga,,,,,,
Gargi,An ancient scholar,,,,,,
Gauri,Goddess Parvati,,,,,,
Gaurika,A young girl,,,,,,
Gautami,Wife a sage Gautam; river Godavari,,,,,,
Gayatree/Gayatri,"A sacred verse, a goddess",,,,,,
Geeta/Gita,Holy book of the Hindus,,,,,,
Geeti,Melody,,,,,,
Geetika,A little song,,,,,,
Girija/Girisha,Goddess Parvati,,,,,,
Gitanjali,Collection of poems,,,,,,
Godavari,Sacred river of India,,,,,,
Gopika,A cowherd; cowherd woman,,,,,,
Govindi,A devotee of Lord krishna,,,,,,
Gulab,Rose,,,,,,
Gunjan,"Humming, resounding",,,,,,
Gunjana,"Humming, resounding",,,,,,
Gunjita,"Humming, resounding",,,,,,
Gyanada,Goddess Saraswati,,,,,,
Garima,Pride,,,,,,
Girl,To think pf some one,,,,,,
Goma,Goma,,,,,,
Gracika,Great beauty,,,,,,
Gyanu; Gyani,"Well-behaved, well-mannered",,,,,,
Gyanbi,Knowledgeable; Enlightened,,,,,,
Geeta,The Holy Book of Hinduism.,,,,,,
Girwani,Goddess Saraswati,,,,,,
Garud,Holy Eagle,,,,,,
,,,,,,,
Hansa,Swan,,,,,,
Hansika,Swan,,,,,,
Hansini,Swan,,,,,,
Harhsa,Joy,,,,,,
Harini,Deer,,,,,,
Harita,Green,,,,,,
Harshini,Joyous,,,,,,
Harshita,Joyful,,,,,,
Hasina,Beautiful woman,,,,,,
Hasita,Happy,,,,,,
Heera/Hira,Diamond,,,,,,
Hem,Gold,,,,,,
Hema,Golden,,,,,,
Hemaadri/Himadri,Mountain of gold,,,,,,
Hemakshi,Golden eyes,,,,,,
Hemangi,Golden bodied,,,,,,
Hemangini,With a golden body,,,,,,
Hemani/Himani,Goddess Parvati,,,,,,
Hemanti,Early winter,,,,,,
Hena,A flower,,,,,,
Hima,Snow,,,,,,
Himaadri,Snow mountain,,,,,,
Himani,"Parvati, snow",,,,,,
Hiral,Lustrous,,,,,,
Hita,Lovable,,,,,,
Hiya,Heart,,,,,,
Hisi; Hisila [Newari name],Cute,,,,,,
,,,,,,,
Iha,The earth,,,,,,
Ikshu,Sugarcane,,,,,,
Ila,Earth; Daughter of Manu,,,,,,
Indira,"Lakshmi, bestower of wealth",,,,,,
Indrani,Wife of Indra,,,,,,
Indrayani,The name of a sacred river,,,,,,
Indu,Moon,,,,,,
Induja,Narmada river,,,,,,
Indumati,The full moon,,,,,,
Inu,Attractive,,,,,,
Ipsa,Desire,,,,,,
Ipsita,Desired,,,,,,
Ira,"Earth, daughter of Manu",,,,,,
Isha,Goddess Durga; the female energy; one who protects,,,,,,
Ishana,Rich,,,,,,
Ishani,"Parvati, wife of Lord Shiva",,,,,,
Ishika,Paintbrush,,,,,,
Ishita,Mastery; wealth,,,,,,
Ishwari,Goddess,,,,,,
Ita [Newari name],Oil lamp,,,,,,
Ishorya,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
,,,,,,,
Jagadamba,Mother of the world,,,,,,
Jagatee,The earth,,,,,,
Jagrati,Awakening,,,,,,
Jagriti,Vigilance,,,,,,
Jahnavi,Ganga river,,,,,,
Jala,Water,,,,,,
Jalaja,Lotus,,,,,,
Jamuna,Holy river,,,,,,
Janaki,Sita; wife of Lord Rama,,,,,,
Janani,Mother,,,,,,
Janhavi,River Ganga,,,,,,
Jasmin,A Flower (muslim),,,,,,
Jaya,Victory,,,,,,
Jayahree,Honour of victory,,,,,,
Jayani,A sakti of Ganesha,,,,,,
Jayanti,Victory,,,,,,
Jayaprada,Giver of victory,,,,,,
Jayashree,The goddess of victory,,,,,,
Jayati,Victorious,,,,,,
Jayita,Victories,,,,,,
Jhankar/Jhankaar,Tinkling sound,,,,,,
Jharna/Jharana,Waterfall,,,,,,
Jiwan,Life,,,,,,
Joshita,Pleased,,,,,,
Juhi,A white flower,,,,,,
Jyoti,"Flame, lamp",,,,,,
Jyotika,Light; a flame,,,,,,
Jyotsna,Moon light,,,,,,
Jaysha [Newari name],Office,,,,,,
Jharna,Waterfall,,,,,,
Juanitar,Juanitar,,,,,,
Jibika,Please advise us the meaning of this name.,,,,,,
Januka,Please advise us the meaning of this name.,,,,,,
Jenisha,Please advise us the meaning of this name.,,,,,,
Jonisha,Please advise us the meaning of this name.,,,,,,
,,,,,,,
Kadambari,The moon,,,,,,
Kadambini,An array of clouds,,,,,,
Kajal/Kaajal/Kajol,"Surma, Kohl, eyeliner",,,,,,
Kala,Art,,,,,,
Kalavati,Artistic,,,,,,
Kali,A bud,,,,,,
Kali/Kaali,A name of Durga/black,,,,,,
Kalika,A bud,,,,,,
Kalindi,Yamuna river,,,,,,
Kalpana,Imagination,,,,,,
Kalpita,Imagined,,,,,,
Kalyani,"Blissful, fortunate",,,,,,
Kamakshi,"A Devi, same as Lalita",,,,,,
Kamal,Lotus,,,,,,
Kamala,Goddess,,,,,,
Kamalakshi,One whose eyes are beautiful like lotuses,,,,,,
Kamalika,Lotus,,,,,,
Kamalinee/Kamalini,A lotus plant,,,,,,
Kamana/Kaamana,Desire,,,,,,
Kanan/Kaanan,A garden; forest,,,,,,
Kanchan,"Gold, pure",,,,,,
Kanchana,"A celestial Apsara, gold",,,,,,
Kanta,"Beloved, beauty",,,,,,
Kanti,"Lustrous, light",,,,,,
Kanya,A maiden,,,,,,
Kapila,Name of the celestial cow,,,,,,
Karishma,Miracle,,,,,,
Karuna,"Merciful, compassionate",,,,,,
Kashika,The shiny one,,,,,,
Kashvi,Shining,,,,,,
Kasturi,Musk,,,,,,
Katyayani,Goddess Parvati,,,,,,
Kaumudi,Moonlight,,,,,,
Kaushalya,Lord Rama's mother,,,,,,
Kaveri,Name of a river,,,,,,
Kavita,Poem,,,,,,
Kesari,Saffron,,,,,,
Keshika,A woman with beautiful hair,,,,,,
Ketaki,A monsoon flower,,,,,,
Ketana,Home,,,,,,
Kinjal,River bank,,,,,,
Kiran,Ray of light,,,,,,
Kirtana,"Hymn, a song in praise of god",,,,,,
Kirti,Fame,,,,,,
Kishoree/Kishori,A young girl,,,,,,
Komal,Tender,,,,,,
Koyel,The cuckoo,,,,,,
Kranti,Revolution,,,,,,
Kripa,Mercy,,,,,,
Kriti,"A composition, creation",,,,,,
Kshyama,Forgiveness,,,,,,
Kshyanika,Momentary,,,,,,
Kumari,"Virgin, unmarried",,,,,,
Kumkum,Vermilion,,,,,,
Kumud,Lotus,,,,,,
Kumudini,A lotus,,,,,,
Kunda,Name of a flower,,,,,,
Kunja,Forest,,,,,,
Kunjal,Nightingale,,,,,,
Kunjana,Forest girl,,,,,,
Kuntal,Lock of hair,,,,,,
Kuntala,A woman with luxurious hair,,,,,,
Kunti,The mother of the Pandavas,,,,,,
Kushal,"Safe, happy, expert",,,,,,
Kusum,A flower,,,,,,
Kusumita,Flowers in bloom,,,,,,
Kusumlata,Flowering creeper,,,,,,
Khusi [Newari name],River,,,,,,
Kusa [Newari name],Umbrella,,,,,,
Kausila,AN ANGEL WITH INDEFINITE INNOCENT LOVE WHICH MAKES LIFE SO MEANINGFUL,,,,,,
Kathmandu,Name of capital city in Nepal.,,,,,,
Kamana,"Beautiful, trustful. successful, sexy, hot, cute, pretty, dancer and lovable....",,,,,,
Kunti aryal,Umesh aryal,,,,,,
"Kirtima, Kritima","Please Advise Us the Meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Krisha,Fortunate,,,,,,
Kabbya,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Karmu,"Please advise us the meaning of this name.
(कृपयायो नामको अर्थ हलिदिनुहोला !)",,,,,,
Kabita,A Beautiful Poem,,,,,,
Khum kumari,Pease advise us the meaning of this name,,,,,,
Kritisha,Please advise us the meaning of this name.,,,,,,
Kristina,Please advise us the meaning of this name!,,,,,,
,,,,,,,
Lajja,"Modesty, shyness",,,,,,
Lajjawati,A sensitive plant; modest woman,,,,,,
Lajjita,"Modest, shied",,,,,,
Lakshan,One with auspicious signs on her,,,,,,
Lakshita,Distinguished,,,,,,
Lakshmi(Laxmi),"Goddess, consort of Lord Vishnu",,,,,,
Lakshya,"Aim, destination",,,,,,
Lalana,A girl,,,,,,
Lalima,Redness,,,,,,
Lalita,"Variety, beauty",,,,,,
Lata,"Creeper, vine",,,,,,
Latika,A small creeper,,,,,,
Leela/Lila,Divine drama,,,,,,
Leena/Lina,A devoted one,,,,,,
Lekha,Writing,,,,,,
Lipi,Script,,,,,,
Lipika,A short letter,,,,,,
Lochana/Lochanaa,Eye,,,,,,
Lasta [Newari name],[Please add the meaning],,,,,,
Lipi [Newari name],Script,,,,,,
Lumanti [Newari name],[Please add the meaning],,,,,,
Luniva [Newari Name],Sunrise,,,,,,
Lakpa yangjen,"Beauti, nature lover, who like to help other people",,,,,,
Luise,Please advise us the meaning of this name.,,,,,,
,,,,,,,
Maanika/Manika,Ruby,,,,,,
Madhavi,A creeper with beautiful flowers; springtime; daughter of Yayati,,,,,,
Madhu,Honey,,,,,,
Madhubala,Sweet girl,,,,,,
Madhul,Sweet,,,,,,
Madhulata,Lovely creeper,,,,,,
Madhumati,Full of honey,,,,,,
Madhumita,Full of honey,,,,,,
Madhuri/Maadhuree,"Sweetness, melodious",,,,,,
Madhurima,Sweetness,,,,,,
Madhushri,The spring,,,,,,
Magana,Engrossed,,,,,,
Mahi,The earth,,,,,,
Mahika/Mahita,Earth,,,,,,
Mahima,Glorious,,,,,,
Maina,Singing bird,,,,,,
Maitreyi,Name of a woman scholar,,,,,,
Maiya,Little girl,,,,,,
Mala,"Necklace, garland",,,,,,
Malati,Jasmine,,,,,,
Malavika,Princess of Malawa,,,,,,
Maliha,"Strong, beautiful",,,,,,
Malika/Mallika,"Flower, queen",,,,,,
Malina,Dark,,,,,,
Malini,"Florist, a river",,,,,,
Mamata,Affection,,,,,,
"Manasa,Maanasa",Mind,,,,,,
Manasi goddess,"Of learning, product of the mind",,,,,,
Mandakini,A river,,,,,,
Mandara,Mythical tree,,,,,,
Mandeep,Light of heart,,,,,,
Mandira,Cymbals; home,,,,,,
Maneeshi/Manishi,Wise,,,,,,
Mangala/Mangalaa,"Auspicious, bliss",,,,,,
Manika,"Ruby, jewel",,,,,,
Manisha,"Sharp intellect, genius",,,,,,
Manjari,Tulasi; blossom,,,,,,
Manjira,Ankle-bells,,,,,,
Manju,"Pleasant, sweet",,,,,,
Manjula,"Melodious, sweetness",,,,,,
Manjulika,A sweet girl,,,,,,
Manjusha,"Lady with a sweet voice, a box",,,,,,
Manjushri/Manjushree,"Goddess, Saraswati",,,,,,
Manorama,"Attractive, beautiful",,,,,,
Manushri/Manushi,Lakshmi,,,,,,
Marisa,Mother of Daksa,,,,,,
Matrika,"Mother, name of goddess",,,,,,
Mausam,Season,,,,,,
Mausami,Seasonal,,,,,,
Maya,"Love, Affection in Nepali (Also Illusion, Durga in Indian)",,,,,,
Mayuri,Peahen,,,,,,
Medha,"Intelligence, Saraswati",,,,,,
Medhaavi,Wise,,,,,,
Medini,The earth,,,,,,
Meena/Mina,Precious blue stone,,,,,,
Meenakshi,"One with fish shaped eyes, Parvati",,,,,,
Meera/Mira,"A saint, devotee of Lord Krishna",,,,,,
Megha,Cloud,,,,,,
Meghana,Cloud,,,,,,
Meha,Rain,,,,,,
Mehal,Cloud,,,,,,
Mela,Religious gathering,,,,,,
Menaka,Celestial damsel,,,,,,
Minal,A precious stone,,,,,,
Mita,A friend,,,,,,
Mohana,"Attractive, charming",,,,,,
Mohini,Most beautiful,,,,,,
Mohita,Attracted,,,,,,
Monal,Bird,,,,,,
Moti,Pearl,,,,,,
Mridu,Gentle,,,,,,
Mridula,Tendreness,,,,,,
Mrinal,Lotus,,,,,,
Mrinalini,Stem of lotus,,,,,,
Mudita,Happy,,,,,,
Mudrika,Ring,,,,,,
Mugdha,Spellbound,,,,,,
Mukta,Liberated; pearl,,,,,,
Mukti,Freedom from life and death,,,,,,
Muna,Pease advise us the meaning of this name,,,,,,
Muneera/Munira,Illuminating; shedding light,,,,,,
Matina [Newari name],Love,,,,,,
Mihsa [Newari name],Woman,,,,,,
Mhichaa [Newari name],Bag,,,,,,
Monita,"He is cute, sweet",,,,,,
Mira,Mira,,,,,,
Manikala,Gift of God; Precious Diamond,,,,,,
