Name,Description,Indian
Anuj/Anoj,Younger brother,
Anup,Without comparison,
Anupam,Unique/incomparable,
Anurag,Affection,
Anurag / Anuraag,"Attachment, devotion, love",
Anuraj,Please send me back email the meaning of my name,
Anuttam,Unsurpassed,
Aragon,Fire,
Aranab,Ocean,
Arbindra,Lotus Flower,
Archan,Worship,
Archit,Worshipped,
Ardhendu,Half moon,
Arghya,Offering to the Lord,
"Arhant,Arihant",Destroyer of enemies,
Arijit,Conquering enemies,
Arindam,Destroyer of enemies,
Arit,Please advise us the meaning of this name!,
Arjit,Earned,
Arjun,One of the Pandavas,
Arnav,Ocean,
Arnesh,Lord of the sea,
Arokya,"Very pious, healthy",
Arpan,Offering,
Arul,The lord's grace; lord's blessings,
Arun,Sun,
Arun Dong,Meaning of the name,
Arun Lama,Meaning of the name,
Arun Lama Dong,Meaning of the name,
Arvind/Arbind/Aravinda,Lotus,
Arya,"Honoured, noble",
Aryaman,The sun,
Aryan,Please advise us the meaning of this name.,
Asav,Essence,
Ashank,Faith,
Ashesh,Benediction,
"Ashis,Ashish","Benediction, blessings",
Ashok,Please advise us the meaning of this name!,
Ashok/Ashoka,Without grief,
Ashu,Quick,
Ashutosh,Who is easily pleased; Lord Shiva,
Ashwin,A cavalier; a Hindu month; one of the constallations,
Asim,M,
Asim/Aseem/Asheem,Limitless,
Aslesh,Embrance,
Atal,"Unshakeable, immovable",
Atanu,Cupid,
"Athiya,Atiya",To surpass,
Atma/Aatma,Soul,
Atmajyoti,Inner light; light of the soul,
Atman,The self,
Atmanand,Blissful,
Atreya/Atre,The son of sage Atri to whom Dattatreya was born,
"Atul,Atulya",Matchless; incomparable,
Avadhesh,King Dasaratha,
Avaneesh/Avanish,God of the earth,
Avanindra,Lord of the earth,
Avanish,Lord of the earth,
Avatar,Incarnation,
Avikshit,Never seen before,
Avinash,Immortal;,
Aviyan,Pease advise us the meaning of this name,
Ayush,Long lived,
Babu,Babu is lively name for all,
Badal,Cloud,
Badri,Lord Vishnu,
Badrinath,Lord Vishnu,
Baikuntha,Heaven,
Bajra/Vajra,Thunderbolt,
Bal/Bala,"Young, infant, strong",
Baladitya,Young sun,
Balaji,Lord Vishnu,
Balaraj,Strong,
Balaram,The brother of Lord Krishna,
Balbir,Strong,
Balchandra,Young moon,
Baldev; Balraj; Balwant,Strong,
Balgopal,Baby krishna,
Balgovind,Baby Krishna,
Balkrishan,Young Krishna,
Balmani,Young jewel,
Balmohan,"One who is attractive,",
Balram,Krishna's brother,
Balwant,Strong,
Bandhu,Friend,
Bandhul,Pleasing,
Bankim,Curved,
Bankimchandra,Crescent moon,
Bansi,Flute,
Bansilal,Lord Krishna,
Bappa,Please advise us the meaning of this name.,
Barindra,Ocean,
Barun/Varun,"Lord of the waters, neptune",
Basant/Vasant,Spring,
Basanta/Basant,Spring,
"Basistha,Vasishtha",A sage,
Basu/Vasu,An ancient king,
Basudev/Vasudev,"Krishna's father, god of wealth",
Batshal regmi,Love kind,
Bebek,Lord,
Bedansh,Please advise us the meaning of this name.,
Benju,"Instrument,flute of a kind",
Bhadrak,Handsome,
Bhagat,Devotee,
Bhagirath,One who brought river Ganga to the earth,
Bhagwan,God,
Bhairab/Bhairav,One of the gods,
Bhajan,Adoration,
Bharadwaj,A sage; a mythical bird,
Bharat,"India, brother of Lord Ram",
Bhargava/Bhargabh,Lord Shiva,
Bhaskar,Sun,
Bhaswar,Shining,
Bhaumik,Earthly,
Bhavesh,Lord of the world,
Bhavya,Grand,
Bhim,Powerful; one of Pandavas,
Bhishma,"A character of Mahabharata, strong",
Bhojraj,An Ancient King.,
Bhooshit,Decorated,
Bhrigu,A Prajapati,
Bhudev,Lord of the earth,
Bhupal,King,
Bhupat/Bhupad,Lord of the earth,
Bhupen,King,
Bhupendra,"Emperor, king of kings",
Bhushan,Adornment,
Bhuvan/Bhuwan,"Palace, one of the three worlds",
Bhuwan,"Sansar The Earth, Universe",
Bhuwanesh/Bhuvanesh,"The lord of the world, Vishnu",
Bhuwaneshwar,Lord of the world,
Bibas,Pease advise us the meaning of this name,
Bibek,Judgement; Widsom,
Bibek/Vivek,Conscience,
Bibesh,Please advise us the meaning of this name.,
Bibhaakar,The moon,
Bibhas,A raga,
Bibhu,Powerful,
Bibhu/Vibhu,All-pervading,
Bibhushan,M,
Bibidh,Miscellaneous,
Bibush,Please advise us the meaning of this name.,
Bidhan rumba,Bidhan rumba a nepali name.. its meaning?,
Bidur,Wise; a friend of Lord Krishna,
BidurRaja,Pease advise us the meaning of this name,
Bidwan,Scholar,
Bidyut,"Lightning, electricity",
Bigyan byanju,M,
Bihaan/Bihan,Morning/ dawn,
Bijay,Bj is thats person who has never lost anything so you should be add a name bj,
Bijay/Vijaya,Victory,
Bijaya/Vijaya/Vijay,Victory,
"Bijendra,Bijanyendra",Victorious,
Bikal,Bika,
Bikalpa,Alternative; One that depart from or challenge traditional norms.,
Bikas/Bikash,Development,
Bikesh/Vikesh,The moon,
Bikraj,M,
Bikram,Please advise us the meaning of this name.,
Bikram/Vikram,Valour,
Bilas,Play,
Bimal,Alright,
Bimal/Vimal,"Clean, pure",
Binam,Binamra/sahansil,
Binaya / Binay / Vinay,Humility,
Binayak,Lord Ganesh,
Bindash,Please advise us the meaning of this name.,
Bindusar,An excellent pearl,
Binesh,Godly,
Binisha,Binisha,
Binit/Vineet,Unassuming,
Binod,"He is handsome, helpful, kind",
Binod/Vinod,"Pleasing, happy, full of joy",
Bipesh,Please advise us the meaning of this name.,
Bipin/Vipin,Forest,
Biplav,Floating; revolution,
Bipra/Vipra,A priest,
Bipson,Pease advise us the meaning of this name,
Bipul/Vipul,Extensive,
Bir,"Courageous, Brave",
Biraj,Sun; splendour,
Biraj/Viraj,"Resplendent, splendour",
Biral/Viral,Precious; rare,
Birat,"Very big, giant proportioned",
Birbal,Brave heart,
Birendra,King of warriors,
Biresh,Please advise us the meaning of this name,
Bisaj,Louts,
Bishal,"Huge, broad, great",
Bishnu,Lord Vishnu,
Bishow,The World,
Bishrut,Bishrut,
"Bishwa, Bishwo","Earth, universe",
Bishwambhar,The supreme spirit,
Bishwas,"Faith, trust",
Bishweshwar,Lord of the universe,
Biswa/Bishwa,"Earth, universe",
Biswajit,Conquerer of the world,
Biswas,Trust,
Bodhan,Kindling,
Boy,Sone of king,
Brajesh,Lord Krishna,
Bramha,Creator of the universe,
Bratindra,Devoted to right deeds,
Brihav,Please advise us the meaning of this name.,
Brijesh,God of the land 'Brij',
Brijmohan,Krishna,
Briyan,Noble,
Buddha,"Awakened, Lord Buddha",
Buddhi,Knowledge,
Byas/Vyas,The author of Mahabharata,
Chaitanya,The name of a saint; consciousness,
Chaitya,Place of worship,
Chakor,A bird enamoured of the moon,
Chakra,"Lord Vishnu's weapon, circular",
Chakrapani,Lord Vishnu,
Chakshu,Eye,
Chaman,Garden,
Champak,A flower,
Chanakya,Bright,
Chanchal,Active,
Chandan,Sandalwood,
Chandra,Moon,
Chandrachur,Lord Shiva,
Chandrahas,Bow of Shiva,
Chandrak,Peacock feather,
Chandrashekhar,"One who holds moon in his hair knot, Lord Shiva",
Chandresh,Lord of the moon,
Chapal,Quick,
Charan,Feet,
Charanjit/Charanjeet,One who has won over the lord,
Chatura,Clever,
CHAWO,GDGHA,
Chetan,"Consciousness, life",
Chhandak,The charioteer of Lord Buddha,
Chhatra magar,Chhatra magar,
Chidambar,One whose heart is as big as the sky,
Chidananda,Lord Shiva,
Chinmaya,Supreme consciousness,
Chintak,Thinker,
Chintamani,Philosopher's stone,
Chintan,Meditation; thought,
Chirag,Lamp,
Chiranjeev/Chiranjibi,Immortal,
Chirantan,Immortal,
Chirayu,Immortal,
Chitta,Mind,
Chittaprasad,Happiness,
Chittaranjan,Joy of inner mind,
Chittesh,Lord of the soul,
Chudamani,Crest jewel,
Darma,"In Hinduism and Buddhism it means 'duty', 'virtue', 'morality', even 'religion' and it refers to the power which upholds the universe and society",
Darsang,Please Advise Us the Meaning of this name.,
Darsh,Lord Krishna,
Deepak,Light,
DELHI,THA SUN,
Deveshwar,Lord Shiva,
Devrat,Spiritual,
Dhairya,Patience,
Dhan,Wealth; Prosperity,
Dhana lama,I am haven,
Dhana/Dhan,Wealth,
Dhananjay,"One who wins wealth, Arjun",
Dhandhoj,Please advise us the meaning of this name.,
Dhanesh,Lord of wealth,
Dhangadhi,THA SUN,
Dhangadhi nepal,HARI,
Dhanlal lama,RIchaa SInjee,
Dharanidhar,Sheshnaag - the cosmic serpent,
Dharma,"Religion, nature",
Dharmapal,Protector of his religion,
Dharmaraj,Please advise us the meaning of this name.,
Dharmendra,King of religion,
Dharmendu,Light of religion,
Dharmesh,Master of religion,
Dharuna,A rishi,
Dhatri,A son of Vishnu/Lakshmi,
Dhawal,"White, fair complexioned",
Dheeman,Intelligent,
Dheemant,Wise; intelligent,
Dheerendra/Dhirendra,"God of courage, lord of the brave",
Dhimant,Intelligent,
Dhir/Dheer,"Tolerant, wise",
Dhiraj,Patience,
Dhiren,One who is strong,
Dhrishya,Vision,
Dhritiman,Patient,
Dhruba,"The polar star, firm, unshakable",
Dhurba,Please advise us the meaning of this name.,
Dhyan,Meditation,
Dhyanesh,Meditative,
Dhyaneshwar,Lord of meditation,
Dibya/Divya,"Heavenly, brilliant",
Digambar,"Unencumbered, free, naked",
Dilawar,Brave,
Dilip kunwat,Sampurna life ko barema,
"Dilip, Dileep","A king, ancestor of Rama",
Dilli,King,
Dinakar,The sun,
Dinendra,"Lord of the day, the sun",
Dinesh,Sun,
Dinkar,Sun,
Dipen,M,
Dipendra,Lord of lights,
Dipendu,Moon,
Dipersan,Please advise us the meaning of this name.,
Dipesh,Lord of light,
Dipesh / Deepesh,"Deep means Light and Eesh means Lord or god. Threfore, Dipesh or Deepesh means Lord of the Lights",
Dipson,Pease advise us the meaning of this name,
Diptanshu,Sun,
"Divendu, Divyendu, Dibyendu",The moon,
Divyesh,Full of divinity,
Diwakar/Divakar,Sun,
Diwash,Day,
Dorji,Dirji fight,
DOTI DIPAYEL,THA SUN,
Durgesh,Lord of forts,
Durjaya,Difficult to conquer,
Dushyanta,"A king from the epic Mahabharata, destroyer of evil",
Dwaipayan,The sage Vyasa,
Dwarika,Capital of Lord Krishna's kingdom,
Dwijendra/Dwijaraj,King of Brahmins; the moon,
Dwijesh,River,
Ekachakra,Son of Kashyapa,
Ekagrah,Focused,
Ekalavya,Renowned for his devotion to his guru,
Ekambar,Sky,
Ekanath,King,
Ekansh,Whole,
Ekaraj,Emperor,
Ekavir,Bravest of the brave,
Eknath,"Poet, saint",
Ekraj,Please advise us the meaning of this name.,
Ekson,Please advise us the meaning of this name.,
Facebook,Meaning by name,
Fanindra/Phanindra,The cosmic serpent Shesh,
Fanish/Phanish,The cosmic serpent Shesh,
Fanishwar/Phanishwar,"Lord of serpents, Vasuki",
Fateh/Fatte,Victory,
Firoj,Nepali,
Ganaraj,Lord of the clan,
Gandharva,Celestial musician,
Gandhi,Sun,
Gandhik,Fragant,
Ganesh,A Hindu God; son of Lord Shiva and Parvati,
Gangadhar,Shiva,
Gangadutt,Gift of Ganga,
Gangesh,Lord Shiva,
Garud,Holy Eagle,
Gaurang,Fair complexioned,
Gaurav,"Honour, pride, respect",
Gautam,Lord Buddha,
Geet,Song,
Ghanashyam,Lord Krishna,
Gharchung,Garbage,
Giri,Mountain,
Giridhar,"Holder of mountains, name of Krishna",
Girija,Goddess Parvati,
Girindra,Lord Shiva,
Giriraj,Lord of the mountains,
Girish,Lord Shiva; god of mountains,
God of death,Mangala,
Gokul,A village near Mathura,
Goma,Goma,
Gopal,"Krishna, cowherd",
Gopan,Protection,
Gopesh,Lord Krishna,
Gopi,Protector of cows (female),
Gorakh,Cowherd,
Goral,Lovable,
Gourishankar,Mt. Everest,
Govinda,"Lord Krishna, corherd",
Grishma,"Warmth, summer",
Guddu,Please advise us the meaning of this name.,
Gulzarilal,Name of Lord Krishna,
Guna,Virtues,
Gunaratna,Jewel of virtue,
Guru,"Teacher, master, priest",
Gurudas,Servant of the guru,
Gurudutt,Gift of the guru,
Gyan,Knowledge,
Gyaneshwar,God of wisdom,
Gyani,Could you please a boy name from both of these name?,
Gyanu; Gyani,"Well-behaved, well-mannered",
Hakku,Hakku,
Hans,Swan,
Hanuman,The monkey god of Ramayana,
Hardik,Heartfelt,
Harendra,Lord Shiva,
Haresh,Shiva,
Hari,Vishnu,
Harigopal,Lord Krishna,
Harihar,Shiva and Vishnu together,
Harinarayan,Lord Vishnu,
Harindra,Lord Shiva,
Harischandra,Dfasd,
Harish,Vishnu,
Harishankar,Vishnu and Shiva,
Harishchandra,"King of Surya dynasty, charitable",
Harka,Please Advise Us the Meaning of this name.,
Harmendra,The moon,
Harmesh,Always,
Harsha,"Joy, happiness",
Harshad,Happy,
Harshil,Joyful,
Harshit,Joyful,
Hasan,Laughter,
Hasit,Happy,
Hem subedi,Himalayan snow,
Hemachandra,Golden moon,
Hemanga,Golden coloured,
Hemant,Winter,
Hemendra,Lord of gold,
Hemendu,Golden moon,
Hemish,Lord of the earth,
Heramba,Lord Ganesh,
Hghgh,Hghghgh,
Himachal,The Himalayas,
Himadri,Himalaya,
Himaghna,The sun,
Himal,Snow mountain,
Himanshu,Moon,
Himmat,Courage,
Hira,"Dimond, Precious, Worthy",
Hira/Heera,Diamond,
Hiranmay,"Golden, wealth",
Hiranya,Wealth,
Hirendra,Lord of diamonds,
Hiresh,King of precious stones,
Hiten,Well wisher,
Hitendra,Well wisher,
Hitesh,Well wisher,
Hridaya,The heart,
Hridayesh,King of heart,
Hrishikesh/Rishikesh,"Lord Vishnu, one who controls senses",
Ilesh,Lord of earth,
Iman,"Name of raga, trurtworthy",
Indivar,Blue lotus,
Indra,God of rain and thunder,
Indra Jit,Please advise us the meaning of this name.,
Indrajeet/Indrajit,Conqueror of Indra,
Indraneel,Sapphire,
Indubhushan,The moon,
Indushekhar,Like a moon,
Iric,Iric,
Ishan,The Lord,
Ishat,Superior,
Ishayu,Full of strength,
Ishorya,Please advise us the meaning of this name.,
Ishwar,God,
Ismriti,Please advise us the meaning of this name.,
Jag,The universe,
Jagadeep,Light of the world,
Jagadish/Jagdish,Lord of the universe,
Jagajeet,Conqueror of the world,
Jagan,Universe,
Jagannath,Lord Vishnu,
Jagat,The universe,
Jalendu,Moon in the water,
Janak,Father of Sita,
Janardan,"One who helps people, Vishnu",
Janu,Soul/life force,
Japa,Chanting,
Japendra,Lord of chants - Lord Shiva,
Jas,Dafdfasdfasdfsdfa,
Jaswant,Victorious (Yashwant),
Jatan,Nurturing,
Jatin,Pertaining to a saint,
Jawahar,Gem,
Jayadev,God of victory,
Jayaman,Please advise us the meaning of this name.,
Jayant/Jayanta,Victorious,
Jayash,M,
Jayesh,Victor,
Jeet bahadur taramu magar,"I am a boy. I live in Thulo lumpek,Gulmi,Lumbini, Western Nepal",
Jeevan,Life,
Jewish,Please advise us the meaning of this name.,
Jibika,Please advise us the meaning of this name.,
Jishnu,Arjuna,
Jitendra/Jiten,Lord of conquerers,
Jiwan,M,
Jiwan/Jivan,Life,
Jiyash,Soul of govinda and sushma i.e GS,
Joyson,Joyson,
Juanitar,Juanitar,
Jyotindra,Lord of life,
Kabir,Name of a famous poet-saint,
Kailash,Abode of Lord Shiva,
Kalash,Sacred pot,
Kalidas,"The poet, musician, a devotee of Goddess Kali",
Kalu,Kalu malu,
Kalyan,Welfare,
Kamadev,God of love,
Kamalesh,"Lord Vishnu, one with eyes like a lotus",
Kamlesh,God of lotus,
Kanak,Gold,
Kanan,"A garden, forest",
Kanhaiya,Lord Krishna,
Kapil,Name of a sage,
Karna,The first-born son of Kunti; ear,
Kartik,A Hindu month,
Kartikeya,Elder son of Lord Shiva,
Karunakar,Merciful,
Kashi,Name of Varanasi,
Kashyap,Name of a sage,
Kathmandu,Name of capital city in Nepal.,
Kaushal,"Clever, skilled",
Kaushik,Sage Vishwamitra,
Kavi/Kabi,Poet,
Kavin,Handsome/beautiful,
Kedar,"Mountain lord, powerful",
Kesar,Saffron,
Keshab/Keshav,Krishna's name,
Ketak,Flower,
Ketan,Pure gold,
Kevin,Please advise us the meaning of this name.,
Kewal,Only,
Khagendra,Lord of the birds,
Kharka,Shord,
Khem,Welfare; Peace Loving,
Kirshal,Please advise us the meaning of this name.,
Kirtan,Songs of worship,
Kishor/Kishore,A young boy,
Kripal,Merciful,
Krishab,Lord Krishna,
Krishna,Lord Krishna,
Kuber,God of riches,
Kul,Please advise us the meaning of this name.,
Kuldeep,Light of family,
Kumar,"Young boy, prince",
Kunal,Son of King Ashoka,
Kundan,"Gold, pure",
Kush/Kusha,Son of Lord Rama,
Labh,Gain,
Lachee,Please advise us the meaning of this name.,
Lagan,Dedication; appropriate time,
Lahar,Wave,
Lakshman,Brother of Lord Rama,
Lalit,Beautiful,
Lav/Lava,Son of Lord Rama,
Laxman,"In Sanskrit: ""having lucky marks"". In the Hindu epic the 'Ramayana' he is the trusted companion of the hero Rama, accompanying him into exile.",
Layak,Capable,
Lekh,Document,
Lelish,Please advise us the meaning of this name.,
Lightro,Meaning is run very fast or super fast,
Lila,Please advise us the meaning of this name.,
Lila/Leela,Divine drama,
Lochan,The eye,
Loken,Divergent,
Lokendra,Please advise us the meaning of this name.,
Lokesh,Lord Brahma,
Loknath,Lord Vishnu,
Madan,"Cupid, god of love",
Madhav,Lord Krishna,
Madhukar,"Honey bee, lover",
Madhup,A honeybee,
Madhur,Light and melodious,
Madhuri,Hello,
Madhusudan,Lord Krishna,
Magan,Engrossed,
Mahadev,Lord Shiva,
Mahant,Great,
Mahavir,"A Jain prophet, also the super courageous one",
Mahendra,Lord Vishnu,
Mahesh,Lord Shiva,
Maheshwar,Lord Shiva,
Mahip,M,
Mainuddin,"Mainuddin is a Muslim baby Boy name, it is an Arabic originated name. Mainuddin name meaning is Assister Of The Faith and the lucky number associated with Mainuddin is 4. Find all the relevant details about the Mainuddin Meaning, Origin, Lucky Number and Religion from this page.",
Maitreya,Disciple of sage Parasara,
Manas,Mind,
Manav,Man,
Manavendra,A king,
Mandar,A celestial tree,
Manendra,King of mind,
Mangal,Auspicious,
Mangesh,Lord Shiva,
Mani,Gem,
Manik,"Gem, ruby",
Manil,Please advise us the meaning of this name.,
Manindra,"Lord of gems, lord of the mind!",
Manish,"Lord of the mind, intellect",
Manishankar,Lord Shiva,
Manit,Highly respected,
Manjeet,Conqueror of the mind,
Manjul,Handsome,
Manmohan,Pleasing,
Manohar,Beautiful; captivating,
Manohar singh,Manohar,
Manoj,Born of mind,
Manoranjan,Pleasing,
Manu,"The first human being, a sage",
Mathura,An ancient religious city,
Matsendra,King of the fishes,
Maulik,Precious,
Mavyn,Famous,
Mayur,Peacock,
Meen,I need ma meaning of my name plz help me,
Meet,Friend,
Megh,Cloud,
Messi,Soccer player name,
Mihir,Sun rays,
Milan,Union,
Milap,Union,
Milind,A bee,
Millon gurung,Bron in augest,
Mimanshu,Please advise us the meaning of this name.,
Miren,Love between husband and wife.,
Mitesh,One with few desires,
Mithila,Kingdom,
Mithilesh,The king of Mithila,
Mithun,Gemini,
Mitra,A friend,
Mitul,Friend,
Mohak,Attractive,
Mohan,"Charming, fascinating",
Mohit,Charmed,
Mohnish,Lord Krishna,
Moni,Moni,
Moon,Chandra,
Mountain,Himalayan snow,
Mountain lake,Himalayan snow,
Mridul,"Tender, delicate",
Mrigendra,Lion,
Mrigesh,Lion,
Mrityunjay,"Lord Shiva, he who defeats death",
Mukesh,An epithet for Shiva,
Mukti/Mukta,Liberation,
Mukul,Bud,
Mukunda,"Lord Krishna, freedom giver",
Mukut,Crown,
Muni,Sage,
Munindra,Best among saints,
Murali,Flute,
Murari,Lord Krishna,
Murti,"Idol, statue",
My son,Toshan,
Myself,Navin meaning is new,
Nabendu,New moon,
Nabin,New,
Nagendra,"(Naagendra) Seshnag, lord of the gem",
Nagesh,"Seshnag, cosmic serpent",
Nakshatra,Star,
Nakul,Name of one of the Pandavas,
Nalin,Lotus,
Naman,"Naman, bimal rakshya",
Nanak,Guru fo the Sikhs,
Nanda lal,Prusutam is name of load ram name,
Nandakishor,Wiz kid,
Nandan,"Pleasing, son",
Nandin,"The delightful, follower of Shiva",
Nandu,Please Advise Us the Meaning of this name.,
Narahari,Lord Vishnu,
Narasimha,An incarnation of Lord Vishnu,
Narayan,Lord Vishnu,
Narbu,To be blessed,
Narendra,King,
Naresh,King,
Naresh m kumar,Hiii,
Narottam,Best among men,
Natesh,King,
Natraj,King among actors,
Natwar,Lord Krishna,
Navanit/Navaneet,One who takes pleasure in new joys,
Naveen/Navin,New,
Navnit,Fresh butter,
Navrang,Colourful,
Nawal,New,
Nayan,Eye,
Neel,"Deep, Blue",
Neelambar,Blue sky,
Neelesh,Lord krishna; moon,
Neeraj/Niraj,Lotus; pearl,
Netra,Eyes,
New user,New user means naya user,
Ngodup Magar,Apple boy,
Nibodh,Knowledge,
Nidhish,Lord of treasure,
Nigam,Treasure,
Nihal,Gratified,
Nihar,"Mist, fog, dew",
Nikash,Horizon,
Nikesh,I want to know the meaning,
Nikesh Chhetri,"A boy with brown colour, leen and thin...",
Niket,Home,
Niketan,"House, mansion",
Nikeyparee,Nikeyparee,
Nikhil,"Entire, complete, whole",
Nikhilesh,Lord of the universe,
Niklesh,Please advise us the meaning of this name!,
Nikunja,Grove of trees,
Nilesh,"Krishna, blue god",
Nim,"To walk with short, quick strides; trip along",
Nimesh,Please advise us the meaning of this name.,
